id,web_name,element_type,form,now_cost,points_per_game,team,status,chance_of_playing_next_round,selected_by_percent,ict_index,influence,creativity,threat,expected_goals,expected_assists,expected_goal_involvements,minutes,bps,event_points,fdr_avg,fixture_count,gw,actual_points
115,De Cuyper,2,7.0,4.8,7.0,5,a,100.0,19.9,21.1,69.0,91.1,50.0,1.5,0.4,1.9,243,61,4,2.0,1,4,11
116,Dunk,2,3.3,4.5,3.3,5,a,100.0,1.3,7.4,59.0,10.3,4.0,0.0,0.06,0.06,270,40,5,2.0,1,4,12
117,Coppola,2,0.0,4.5,0.0,5,a,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,1,4,0
118,Igor,2,0.0,4.5,0.0,5,u,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,1,4,0
119,Costinha,2,0.7,4.5,0.7,5,a,100.0,0.0,4.8,14.0,16.7,18.0,0.12,0.16,0.28,48,13,1,2.0,1,4,1
120,Svoboda,2,0.0,5.0,0.0,5,a,100.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,1,4,0
121,Mitoma,3,0.0,5.9,0.0,5,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,1,4,0
122,Minteh,3,0.0,5.9,0.0,5,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,1,4,0
123,Hinshelwood,3,5.3,6.0,16.0,5,d,50.0,1.1,14.5,72.8,13.4,59.0,1.41,0.02,1.43,63,54,0,2.0,1,4,0
124,Groß,3,5.3,5.5,5.3,5,a,100.0,16.2,22.2,68.8,106.6,50.0,0.84,0.42,1.26,270,63,1,2.0,1,4,17
125,Georginio,4,1.7,5.5,5.0,5,d,75.0,0.6,4.6,19.8,11.4,15.0,0.08,0.44,0.52,90,22,0,2.0,1,4,0
126,O'Riley,3,0.0,5.5,0.0,5,a,100.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,1,4,1
127,Gomez,3,4.3,5.0,4.3,5,a,100.0,4.9,23.8,52.8,71.8,113.0,0.65,0.7,1.35,265,55,2,2.0,1,4,3
128,Buonanotte,3,0.0,5.0,0.0,5,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,1,4,0
129,Ayari,3,1.3,5.4,2.0,5,a,100.0,0.4,6.1,11.4,29.8,24.0,0.28,0.07,0.35,153,26,2,2.0,1,4,8
130,Wieffer,2,2.3,5.0,3.5,5,i,0.0,0.3,8.3,37.0,35.5,10.0,0.12,0.13,0.25,156,38,0,2.0,1,4,0
132,Howell,3,0.0,4.5,0.0,5,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,1,4,0
133,Watson,3,0.0,5.0,0.0,5,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,1,4,0
134,Oriola,3,0.0,4.5,0.0,5,a,100.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,1,4,0
135,Yohanna,3,0.3,4.9,1.0,5,a,100.0,0.1,0.2,0.2,1.3,0.0,0.0,0.03,0.03,12,3,0,2.0,1,4,0
137,Tzimas,4,0.0,5.5,0.0,5,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,1,4,0
138,Kostoulas,4,2.7,5.5,2.7,5,a,100.0,0.5,8.5,14.6,20.8,51.0,0.78,0.04,0.82,195,25,2,2.0,1,4,10
139,Ferguson,4,0.0,5.0,0.0,5,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,1,4,0
328,Struijk,2,0.3,5.0,1.0,5,a,100.0,0.2,0.0,0.2,0.1,0.0,0.0,0.0,0.0,1,3,1,2.0,1,4,1
504,Vuskovic,2,6.0,5.0,6.0,5,a,100.0,2.9,16.3,91.4,14.6,57.0,0.35,0.06,0.41,270,44,12,2.0,1,4,6
594,David,4,0.3,6.0,0.5,5,a,100.0,0.2,0.4,0.0,3.7,4.0,0.42,0.0,0.42,23,-4,0,2.0,1,4,0
600,Osman,3,0.7,5.0,1.0,5,a,100.0,0.0,3.0,7.2,16.7,6.0,0.0,0.06,0.06,28,13,0,2.0,1,4,1
605,Yalcouyé,3,3.7,4.5,3.7,5,a,100.0,2.8,16.9,59.6,47.2,62.0,0.75,0.26,1.01,167,58,2,2.0,1,4,8
614,Hadjam,2,0.0,4.5,0.0,5,a,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,1,4,0
624,Cozier-Duberry,3,0.0,5.0,0.0,5,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,1,4,0
