id,web_name,element_type,form,now_cost,points_per_game,team,status,chance_of_playing_next_round,selected_by_percent,ict_index,influence,creativity,threat,expected_goals,expected_assists,expected_goal_involvements,minutes,bps,event_points,fdr_avg,fixture_count,gw
87,Ajer,2,3.5,4.5,3.5,4,a,100.0,4.1,15.3,84.8,22.7,45.0,0.13,0.03,0.16,360,44,1,4.0,1,5
88,Kayode,2,4.2,4.6,4.2,4,a,100.0,7.8,14.9,61.2,31.9,56.0,0.55,0.36,0.91,226,52,1,4.0,1,5
89,Henry,2,0.2,4.4,1.0,4,a,100.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0,4.0,1,5
90,Hickey,2,1.0,4.5,1.0,4,a,100.0,0.1,3.5,21.6,7.5,6.0,0.03,0.05,0.08,131,12,1,4.0,1,5
92,Ji-soo,2,0.0,4.5,0.0,4,a,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
93,Schuster,2,1.8,4.5,3.5,4,a,100.0,0.1,5.2,39.4,0.7,12.0,0.1,0.02,0.12,163,16,3,4.0,1,5
94,Schade,3,7.5,6.1,7.5,4,a,100.0,7.1,30.8,134.8,44.5,129.0,0.98,0.3,1.28,357,111,15,4.0,1,5
95,O.Dango,3,1.5,6.3,1.5,4,a,100.0,0.5,10.8,25.2,59.3,23.0,0.09,0.39,0.48,170,32,1,4.0,1,5
96,Damsgaard,3,3.2,5.4,3.2,4,a,100.0,0.4,16.6,34.2,95.0,37.0,0.13,0.45,0.58,197,59,1,4.0,1,5
97,Jensen,3,1.5,5.4,6.0,4,i,0.0,0.1,7.2,12.6,46.2,13.0,0.08,0.34,0.42,66,22,0,4.0,1,5
98,Janelt,3,6.2,5.0,6.2,4,a,100.0,2.5,28.3,146.0,91.7,45.0,0.5,0.4,0.9,360,96,4,4.0,1,5
99,Milambo,3,0.0,5.0,0.0,4,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
100,Carvalho,3,0.0,5.0,0.0,4,a,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
102,Yarmoliuk,3,1.5,4.8,1.5,4,a,100.0,0.7,8.3,29.6,39.5,13.0,0.07,0.24,0.31,148,31,4,4.0,1,5
103,Dasilva,3,0.0,4.9,0.0,4,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1,5
105,Anthony,3,1.2,5.9,1.2,4,a,100.0,0.1,12.7,28.4,78.3,21.0,0.19,0.52,0.71,187,28,1,4.0,1,5
106,Thiago,4,1.2,7.8,1.2,4,a,100.0,9.1,16.2,20.6,27.6,116.0,2.41,0.13,2.54,352,11,1,4.0,1,5
